Symbol,Name,Sector,2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,2020-04-24
LRCX,Lam Research,Information Technology,271.0400,266.8300,292.4000,298.2100,293.4300,240.0000,
LEG,Leggett & Platt,Consumer Discretionary,51.3000,52.3200,50.8300,47.5900,39.6600,26.6800,
LEN,Lennar Corp.,Consumer Discretionary,59.6000,59.6500,55.7900,66.3600,60.3400,38.2000,
LUK,Leucadia National Corp.,Financials,,,,,,,
LLY,Lilly (Eli) & Co.,Health Care,113.9500,117.3500,131.4300,139.6400,126.1300,138.7200,
LNC,Lincoln National,Financials,56.4800,59.0500,59.0100,54.4800,45.3900,26.3200,
LKQ,LKQ Corporation,Consumer Discretionary,33.9900,35.2800,35.7000,32.6850,29.5800,20.5100,
LMT,Lockheed Martin Corp.,Industrials,376.6800,391.0300,389.3800,428.1200,369.8700,338.9500,
L,Loews Corp.,Financials,49.0000,50.9000,52.4900,51.4500,45.6300,34.8300,
LOW,Lowe's Cos.,Consumer Discretionary,111.6100,117.3100,119.7600,116.2400,106.5700,86.0500,
LYB,LyondellBasell,Materials,89.7000,92.5400,94.4800,77.8600,71.4600,49.6300,
MTB,M&T Bank Corp.,Financials,156.5300,164.7400,169.7500,168.5200,140.3800,103.4300,
MAC,Macerich,Real Estate,27.5000,26.9300,26.9200,22.3100,20.4200,5.6300,
M,Macy's Inc.,Consumer Discretionary,15.1600,15.3200,17.0000,15.9500,13.2300,4.9100,
MRO,Marathon Oil Corp.,Energy,11.5300,11.6500,13.5800,11.3700,8.2800,3.2900,
MPC,Marathon Petroleum,Energy,63.9500,60.6400,60.2500,54.5000,47.4200,23.6200,
MAR,Marriott Int'l.,Consumer Discretionary,126.5500,140.3600,151.4300,140.0600,124.0000,74.8100,
MMC,Marsh & McLennan,Financials,103.6200,108.0700,111.4100,111.8600,104.5600,86.4600,
MLM,Martin Marietta Materials,Materials,261.9100,268.4000,279.6400,263.8000,227.5300,189.2300,
MAS,Masco Corp.,Industrials,46.2500,46.5500,47.9900,47.5200,41.3200,34.5700,
MA,Mastercard Inc.,Information Technology,276.8100,292.2300,298.5900,315.9400,290.2500,241.5600,
MAT,Mattel Inc.,Consumer Discretionary,11.9400,11.7000,13.5500,14.6300,11.7900,8.8100,
MKC,McCormick & Co.,Consumer Staples,160.6900,169.2500,169.7300,163.3700,146.1900,141.2100,
MCD,McDonald's Corp.,Consumer Discretionary,196.7000,194.4800,197.6100,213.9700,194.1700,165.3500,
MCK,McKesson Corp.,Health Care,133.0000,144.6400,138.3200,142.6100,139.8600,135.2600,
MDT,Medtronic plc,Health Care,108.9000,111.3900,113.4500,115.4400,100.6700,90.1800,
MRK,Merck & Co.,Health Care,86.6600,87.1800,90.9500,85.4400,76.5600,76.9400,
MET,MetLife Inc.,Financials,46.7900,49.9100,50.9700,49.7100,42.7200,30.5700,
MTD,Mettler Toledo,Health Care,704.9400,719.4100,793.2800,757.1800,701.7000,690.5100,
MGM,MGM Resorts International,Consumer Discretionary,28.5000,31.9500,33.2700,31.0600,24.5600,11.8000,
KORS,Michael Kors Holdings,Consumer Discretionary,31.0700,37.1400,38.1500,29.9600,25.8200,10.7900,11.7400
MCHP,Microchip Technology,Information Technology,94.2900,94.5400,104.7200,97.4800,90.7100,67.8000,
MU,Micron Technology,Information Technology,47.5500,47.5100,53.7800,53.0900,52.5600,42.0600,
MSFT,Microsoft Corp.,Information Technology,143.3700,151.3800,157.7000,170.2300,162.0100,157.7100,
MAA,Mid-America Apartments,Real Estate,138.9900,136.1100,131.8600,137.2100,129.2600,103.0300,
MHK,Mohawk Industries,Consumer Discretionary,143.3800,139.3700,136.3800,131.6800,121.1500,76.2400,
TAP,Molson Coors Brewing Company,Consumer Staples,52.7200,50.4800,53.9000,55.5800,49.6100,39.0100,
MDLZ,Mondelez International,Consumer Staples,52.4500,52.5400,55.0800,57.3800,52.8000,50.0800,
MON,Monsanto Co.,Materials,,,,,,,
MNST,Monster Beverage,Consumer Staples,56.1300,59.8200,63.5500,66.6000,62.4100,56.2600,
MCO,Moody's Corp,Financials,220.6900,226.6700,237.4100,256.7900,240.0300,211.5000,
MS,Morgan Stanley,Financials,46.0500,49.4800,51.1200,52.2600,45.0300,34.0000,
MSI,Motorola Solutions Inc.,Information Technology,166.3200,167.3000,161.1400,177.0000,165.6800,132.9200,
MYL,Mylan N.V.,Health Care,19.1500,18.7800,20.1000,21.4200,17.1900,14.9100,
NDAQ,"Nasdaq, Inc.",Financials,99.7700,104.8000,107.1000,116.4600,102.5500,94.9500,
NOV,National Oilwell Varco Inc.,Energy,22.6200,22.5500,25.0500,20.6100,18.7100,9.8300,
NAVI,Navient,Financials,13.7700,14.3500,13.6800,14.3800,11.2300,7.5800,
NKTR,Nektar Therapeutics,Health Care,17.1250,20.2900,21.5850,19.8900,20.8100,17.8500,
NTAP,NetApp,Information Technology,55.8800,60.5900,62.2500,53.4000,46.7200,41.6900,
NFLX,Netflix Inc.,Information Technology,287.4100,314.6600,323.5700,345.0900,369.0300,375.5000,
NWL,Newell Brands,Consumer Discretionary,18.9700,19.2200,19.2200,19.5300,15.4300,13.2800,
NFX,Newfield Exploration Co,Energy,,,,,,,
NEM,Newmont Mining Corporation,Materials,39.7300,38.4000,43.4500,45.0600,44.6300,45.2800,
NWSA,News Corp. Class A,Consumer Discretionary,13.7100,12.8800,14.1400,13.6200,12.0750,8.9750,
NWS,News Corp. Class B,Consumer Discretionary,14.1200,13.1700,14.5100,13.9700,12.4400,8.9900,
NEE,NextEra Energy,Utilities,238.3400,233.8200,242.1600,268.2000,252.7600,240.6200,
NLSN,Nielsen Holdings,Industrials,20.1600,19.5500,20.3000,20.4000,18.2100,12.5400,
NKE,Nike,Consumer Discretionary,89.5500,93.4900,101.3100,96.3000,89.3800,82.7400,
NI,NiSource Inc.,Utilities,28.0400,26.4500,27.8400,29.3100,27.0200,24.9700,
NBL,Noble Energy Inc,Energy,19.2600,20.7600,24.8400,19.7700,15.8300,6.0400,
JWN,Nordstrom,Consumer Discretionary,35.9000,38.1700,40.9300,36.8600,34.7000,15.3400,
NSC,Norfolk Southern Corp.,Industrials,182.0000,193.5000,194.1300,208.2100,182.3500,146.0000,
NTRS,Northern Trust Corp.,Financials,99.6800,107.2400,106.2400,97.8100,87.7600,75.4600,
NOC,Northrop Grumman Corp.,Industrials,352.4800,351.7700,343.9700,374.5700,328.8400,302.5500,
NCLH,Norwegian Cruise Line,Consumer Discretionary,50.7600,53.6400,58.4100,53.8500,37.2600,10.9600,
NRG,NRG Energy,Utilities,40.1200,39.7300,39.7500,36.8900,33.2100,27.2600,
NUE,Nucor Corp.,Materials,53.8500,56.3600,56.2800,47.4900,41.3500,36.0200,
NVDA,Nvidia Corporation,Information Technology,201.0200,216.7400,235.3000,236.4300,270.0700,263.6000,
ORLY,O'Reilly Automotive,Consumer Discretionary,435.5100,442.2800,438.2600,406.1000,368.7200,301.0500,
OXY,Occidental Petroleum,Energy,40.5000,38.5700,41.2100,39.7200,32.7400,11.5800,
OMC,Omnicom Group,Consumer Discretionary,77.1900,79.4800,81.0200,75.3100,69.2800,54.9000,
OKE,ONEOK,Energy,69.8300,71.0500,75.6700,74.8700,66.7200,21.8100,
ORCL,Oracle Corp.,Information Technology,54.4900,56.1400,52.9800,52.4500,49.4600,48.3300,
PCAR,PACCAR Inc.,Industrials,76.0600,81.3700,79.1000,74.2100,66.9000,61.1300,
PKG,Packaging Corporation of America,Materials,109.4600,111.9000,111.9900,95.7500,90.6200,86.8300,
PH,Parker-Hannifin,Industrials,183.4900,198.7900,205.8200,195.6900,184.7700,129.7300,
PAYX,Paychex Inc.,Information Technology,83.6400,86.1200,85.0600,85.7700,77.4800,62.9200,
PYPL,PayPal,Information Technology,104.1000,108.0100,108.1700,113.8900,107.9900,95.7400,
PNR,Pentair Ltd.,Industrials,41.4700,44.3500,45.8700,42.9300,39.3900,29.7600,
PBCT,People's United Financial,Financials,16.1700,16.5000,16.9000,15.4200,13.9900,11.0500,
PEP,PepsiCo Inc.,Consumer Staples,137.1700,135.8300,136.6700,142.0200,132.0300,120.1000,
PKI,PerkinElmer,Health Care,85.9600,92.9000,97.1000,92.4800,86.4400,75.2800,
PRGO,Perrigo,Health Care,53.0200,51.2300,51.6600,57.0400,50.6900,48.0900,
PFE,Pfizer Inc.,Health Care,38.3700,38.5200,39.1800,37.2400,33.4200,32.6400,
PCG,PG&E Corp.,Utilities,6.1700,7.4600,10.8700,15.2100,15.5000,8.9900,
PM,Philip Morris International,Consumer Staples,81.4400,82.9300,85.0900,82.7000,81.8700,72.9600,
PSX,Phillips 66,Energy,116.8200,114.7200,111.4100,91.3700,74.8600,53.6500,
PNW,Pinnacle West Capital,Utilities,94.1200,87.3900,89.9300,97.6900,89.4900,75.7900,
PXD,Pioneer Natural Resources,Energy,123.0200,127.8400,151.3700,135.0000,122.7800,70.1500,
PNC,PNC Financial Services,Financials,146.7000,153.2100,159.6300,148.5500,126.4000,95.7200,
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,96.0600,107.3400,117.2200,113.5000,105.5100,66.8300,
PPG,PPG Industries,Materials,125.1200,128.8400,133.4900,119.8400,104.4500,83.6000,
PPL,PPL Corp.,Utilities,33.4900,34.0300,35.8800,36.1900,30.0100,24.6800,
PX,Praxair Inc.,Materials,,,,,,,
PFG,Principal Financial Group,Financials,53.3800,55.1000,55.0000,52.9500,44.3900,31.3400,
PG,Procter & Gamble,Consumer Staples,124.5100,122.0600,124.9000,124.6200,113.2300,110.0000,
PGR,Progressive Corp.,Financials,69.7000,73.0500,72.3900,80.6900,73.1600,73.8400,
PLD,Prologis,Real Estate,87.7600,91.5500,89.1400,92.8800,84.2800,80.3700,
PRU,Prudential Financial,Financials,91.1400,93.6200,93.7400,91.0600,75.4500,52.1400,
PEG,Public Serv. Enterprise Inc.,Utilities,63.3100,59.3100,59.0500,59.2000,51.3100,44.9100,
PSA,Public Storage,Real Estate,222.8600,210.6800,212.9600,223.7600,209.1200,198.6100,
PHM,Pulte Homes Inc.,Consumer Discretionary,39.2400,39.6500,38.8000,44.6500,40.2000,22.3200,
PVH,PVH Corp.,Consumer Discretionary,87.1600,96.9600,105.1500,87.1700,74.1100,37.6400,
QRVO,Qorvo,Information Technology,80.8600,104.2100,116.2300,105.8600,100.5800,80.6300,
QCOM,QUALCOMM Inc.,Information Technology,80.4400,83.5500,88.2300,85.3100,78.3000,67.6500,
PWR,Quanta Services Inc.,Industrials,42.0500,41.6400,40.7100,39.1500,38.1300,31.7300,
DGX,Quest Diagnostics,Health Care,101.2500,106.5500,106.7900,110.6700,106.0600,80.3000,
RRC,Range Resources Corp.,Energy,4.0300,3.4900,4.8500,3.0000,2.7700,2.2800,
RJF,Raymond James Financial Inc.,Financials,83.4900,89.8200,89.4600,91.4300,83.6300,63.2000,
RTN,Raytheon Co.,Industrials,212.2100,217.4200,219.7400,220.9400,188.5600,131.1500,
O,Realty Income Corporation,Real Estate,81.7900,76.6300,73.6300,78.4100,72.3900,49.8600,
RHT,Red Hat Inc.,Information Technology,,,,,,,
REG,Regency Centers Corporation,Real Estate,67.2400,65.0400,63.0900,62.0400,57.4400,38.4300,
REGN,Regeneron,Health Care,306.2800,369.0000,375.4800,337.9400,444.5700,488.2900,
RF,Regions Financial Corp.,Financials,16.1000,16.6400,17.1600,15.5700,13.5200,8.9700,
RSG,Republic Services Inc,Industrials,87.5100,88.6500,89.6300,95.0500,90.2600,75.0600,
RMD,ResMed,Health Care,147.9200,149.6000,154.9700,158.9700,158.9600,147.2900,
RHI,Robert Half International,Industrials,57.2700,58.2000,63.1500,58.1700,50.4100,37.7500,
ROK,Rockwell Automation Inc.,Industrials,171.9900,195.8400,202.6700,191.6600,183.5000,150.9100,
COL,Rockwell Collins,Industrials,,,,,,,46.0000
ROP,Roper Technologies,Industrials,336.9600,360.3700,354.2300,381.6600,351.7000,311.8100,
ROST,Ross Stores,Consumer Discretionary,109.6700,116.1500,116.4200,112.1900,108.7800,86.9700,
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,108.8300,120.0200,133.5100,117.0800,80.4100,32.1700,
SPGI,"S&P Global, Inc.",Financials,257.9900,264.6500,273.0500,293.7300,265.9100,245.0500,
CRM,Salesforce.com,Information Technology,156.4900,162.8900,162.6400,182.3100,170.4000,143.9800,
SBAC,SBA Communications,Real Estate,240.6500,236.4700,240.9900,249.5600,265.0900,269.9700,
SCG,SCANA Corp,Utilities,,,,,,,0.0045
SLB,Schlumberger Ltd.,Energy,32.6900,36.2000,40.2000,33.5100,27.0900,13.4900,
STX,Seagate Technology,Information Technology,58.0300,59.6800,59.5000,56.9900,47.9500,48.8000,
SEE,Sealed Air,Materials,41.7700,37.7300,39.8300,35.5000,30.3100,24.7100,
SRE,Sempra Energy,Utilities,144.5100,147.2700,151.4800,160.6400,139.7800,112.9900,
SHW,Sherwin-Williams,Materials,572.3200,583.1300,583.5400,556.9900,516.7500,459.5200,
SPG,Simon Property Group Inc,Real Estate,150.6800,151.2100,148.9600,133.1500,123.0800,54.8600,
SWKS,Skyworks Solutions,Information Technology,91.0600,98.3000,120.8800,113.1500,100.1800,89.3800,
SLG,SL Green Realty,Real Estate,83.6000,85.3300,91.8800,92.0400,78.4400,43.1000,
SNA,Snap-On Inc.,Consumer Discretionary,162.6700,160.4600,169.4000,159.6300,144.7500,108.8200,
SO,Southern Co.,Utilities,62.6600,61.9900,63.7000,70.4000,60.3600,54.1400,
LUV,Southwest Airlines,Industrials,56.1300,57.6400,53.9800,54.9800,46.1900,35.6100,
SWK,Stanley Black & Decker,Consumer Discretionary,151.3300,157.7400,165.7400,159.3300,143.7000,100.0000,
SBUX,Starbucks Corp.,Consumer Discretionary,84.5600,85.4300,87.9200,84.8300,78.4300,65.7400,
STT,State Street Corp.,Financials,66.0700,75.1000,79.1000,75.6300,68.1100,53.2700,
SRCL,Stericycle Inc,Industrials,57.6000,62.8200,63.8100,62.6800,57.4300,48.5800,
SYK,Stryker Corp.,Health Care,216.2700,204.8600,209.9400,210.7000,190.5900,166.4900,
STI,SunTrust Banks,Financials,68.3400,70.8400,,,,,
SIVB,SVB Financial,Financials,221.4800,231.7300,251.0400,240.3300,208.1600,151.0800,
SYMC,Symantec Corp.,Information Technology,,,,,,,
SYF,Synchrony Financial,Financials,35.3700,37.4100,36.0100,32.4100,29.1000,16.0900,
SNPS,Synopsys Inc.,Information Technology,135.7500,141.0400,139.2000,147.5100,137.9300,128.7900,
SYY,Sysco Corp.,Consumer Staples,79.8700,80.5500,85.5400,82.1400,66.6500,45.6300,
TROW,T. Rowe Price Group,Financials,115.8000,123.5600,121.8400,133.5300,118.0100,97.6500,
TTWO,Take-Two Interactive,Information Technology,120.3500,121.3500,122.4300,124.6400,107.4800,118.6100,
TPR,"Tapestry, Inc.",Consumer Discretionary,25.8600,26.8900,26.9700,25.7700,23.4500,12.9500,
TGT,Target Corp.,Consumer Discretionary,106.9100,125.0100,128.2100,110.7400,103.0000,92.9700,
TEL,TE Connectivity Ltd.,Information Technology,89.5000,92.7100,95.8400,92.1800,82.8700,62.9800,
FTI,TechnipFMC,Energy,19.7300,18.8400,21.4400,16.5100,14.8400,6.7400,
TXN,Texas Instruments,Information Technology,117.9900,120.2100,128.2900,120.6500,114.1400,99.9300,
TXT,Textron Inc.,Industrials,46.0900,46.2400,44.6000,45.9300,40.6000,26.6700,
BK,The Bank of New York Mellon Corp.,Financials,46.7500,48.9700,50.3300,44.7800,39.9000,33.6800,
CLX,The Clorox Company,Consumer Staples,147.6900,148.2300,153.5400,157.3100,159.4200,173.2500,
COO,The Cooper Companies,Health Care,291.0000,313.0900,321.2900,346.8900,324.5700,275.6700,
HSY,The Hershey Company,Consumer Staples,146.8700,148.1600,146.9800,155.1700,143.9900,132.5000,
MOS,The Mosaic Company,Materials,19.8800,19.0500,21.6400,19.8400,17.0300,10.8200,
TRV,The Travelers Companies Inc.,Financials,131.0600,136.7200,136.9500,131.6200,119.8100,99.3500,
DIS,The Walt Disney Company,Consumer Discretionary,129.9200,151.5800,144.6300,138.3100,117.6500,96.6000,
TMO,Thermo Fisher Scientific,Health Care,301.9800,313.9500,324.8700,313.1900,290.8000,283.6000,
TIF,Tiffany & Co.,Consumer Discretionary,124.5100,133.8000,133.6500,134.0200,133.5900,129.5000,
TWX,Time Warner Inc.,Consumer Discretionary,,,,,,,
TJX,TJX Companies Inc.,Consumer Discretionary,57.6500,61.1300,61.0600,59.0400,59.8000,47.8100,
TMK,Torchmark Corp.,Financials,97.3300,102.7600,105.2500,104.2600,92.6600,71.9700,74.8600
TSS,Total System Services,Information Technology,,,,,,,
TSCO,Tractor Supply Company,Consumer Discretionary,95.0200,94.4400,93.4400,92.9500,88.5100,84.5500,
TDG,TransDigm Group,Industrials,526.2800,567.1000,560.0000,643.2800,557.8100,320.1900,
TRIP,TripAdvisor,Consumer Discretionary,40.4000,28.4000,30.3800,27.3200,23.4500,17.3900,
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,32.0400,35.7600,37.0700,37.0800,30.7400,23.6300,
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,31.2400,34.9800,36.4000,36.3300,30.4500,22.8800,
TSN,Tyson Foods,Consumer Staples,82.7900,89.8900,91.0400,82.6300,67.8300,57.8700,
USB,U.S. Bancorp,Financials,57.0200,60.0300,59.2900,53.2200,46.4400,34.4500,
UDR,UDR Inc,Real Estate,50.2500,48.0500,46.7000,47.9100,44.9800,36.5400,
ULTA,Ulta Beauty,Consumer Discretionary,233.1500,233.8600,253.1400,267.9100,257.0900,175.7000,
UAA,Under Armour Class A,Consumer Discretionary,20.6500,18.8900,21.6000,20.1800,14.1900,9.2100,
UA,Under Armour Class C,Consumer Discretionary,18.5000,17.3000,19.1800,17.9600,12.4800,8.0600,
UNP,Union Pacific,Industrials,165.4600,175.9900,180.7900,179.4200,159.8100,141.0400,
UAL,United Continental Holdings,Industrials,90.8400,92.8000,88.0900,74.8000,61.5900,31.5500,
UNH,United Health Group Inc.,Health Care,252.7000,279.8700,293.9800,272.4500,254.9600,249.3800,
UPS,United Parcel Service,Industrials,115.1700,119.7300,117.0600,103.5200,90.4900,93.4200,
URI,"United Rentals, Inc.",Industrials,133.5700,153.0500,166.7700,135.6900,132.4800,102.9000,
UTX,United Technologies,Industrials,143.5800,148.3400,149.7600,150.2000,130.5900,94.3300,63.4300
UHS,"Universal Health Services, Inc.",Health Care,137.4600,139.4900,143.4600,137.1100,123.7400,99.0800,
UNM,Unum Group,Financials,27.5400,30.7400,29.1600,26.6900,23.3100,15.0100,
VFC,V.F. Corp.,Consumer Discretionary,82.2900,88.5400,99.6600,82.9700,72.0000,54.0800,
VLO,Valero Energy,Energy,96.9800,95.4900,93.6500,84.3100,66.2500,45.3600,
VAR,Varian Medical Systems,Health Care,120.8100,133.7300,142.0100,140.5700,122.9700,102.6600,
VTR,Ventas Inc,Real Estate,65.1000,58.3100,57.7400,57.8600,53.7700,26.8000,
VRSN,Verisign Inc.,Information Technology,190.0200,190.7400,192.6800,208.1400,189.7500,180.0900,
VRSK,Verisk Analytics,Industrials,144.7000,147.4800,149.3400,162.4700,155.1100,139.3800,
VZ,Verizon Communications,Telecommunication Services,60.4700,60.2400,61.4000,59.4400,54.1600,53.7300,
VRTX,Vertex Pharmaceuticals Inc,Health Care,195.4800,221.7500,218.9500,227.0500,224.0300,237.9500,
VIAB,Viacom Inc.,Consumer Discretionary,21.5600,24.0700,,,,,
V,Visa Inc.,Information Technology,178.8600,184.5100,187.9000,198.9700,181.7600,161.1200,
VNO,Vornado Realty Trust,Real Estate,65.6300,64.5700,66.5000,65.7700,53.5800,36.2100,
VMC,Vulcan Materials,Materials,142.8700,141.8700,143.9900,141.6300,120.2600,108.0700,
WMT,Wal-Mart Stores,Consumer Staples,117.2600,119.0900,118.8400,114.4900,107.6800,113.6200,
WBA,Walgreens Boots Alliance,Consumer Staples,54.7800,59.6000,58.9600,50.8500,45.7600,45.7500,
WM,Waste Management Inc.,Industrials,112.2100,112.9100,113.9600,121.7000,110.8100,92.5600,
WAT,Waters Corporation,Health Care,211.6200,222.0700,233.6500,223.7900,194.8900,182.0500,
WEC,Wec Energy Group Inc,Utilities,94.4000,88.6500,92.2300,99.8900,92.3300,88.1300,
WFC,Wells Fargo,Financials,51.6300,54.4600,53.8000,46.9400,40.8500,28.7000,
WELL,Welltower Inc.,Real Estate,90.6900,84.5700,81.7800,84.9100,74.8200,45.7800,
WDC,Western Digital,Information Technology,51.6500,50.3300,63.4700,65.5000,55.5600,41.6200,
WU,Western Union Co,Information Technology,25.0600,26.8800,26.7800,26.9000,22.3900,18.1300,
WRK,WestRock Company,Materials,37.3700,40.3300,42.9100,39.0000,33.2500,28.2600,
WY,Weyerhaeuser Corp.,Real Estate,29.2100,29.5100,30.2000,28.9500,25.9800,16.9500,
WHR,Whirlpool Corp.,Consumer Discretionary,152.1200,143.1000,147.5300,146.1700,127.8600,85.8000,
WMB,Williams Cos.,Energy,22.3100,22.7200,23.7200,20.6900,19.0500,14.1500,
WLTW,Willis Towers Watson,Financials,186.9000,196.4400,201.9400,211.2900,189.2500,169.8500,
WYN,Wyndham Worldwide,Consumer Discretionary,,,,,,,
WYNN,Wynn Resorts Ltd,Consumer Discretionary,121.3400,120.8500,138.8700,126.1600,107.9800,60.1900,
XEL,Xcel Energy Inc,Utilities,63.5100,61.4900,63.4900,69.1900,62.3200,60.3000,
XRX,Xerox Corp.,Information Technology,33.9300,38.9300,36.8700,35.5700,32.2000,18.9400,
XLNX,Xilinx Inc,Information Technology,90.7400,92.7800,97.7700,84.4800,83.4900,77.9400,
XL,XL Capital,Financials,,,,,,,
XYL,Xylem Inc.,Industrials,76.6900,77.5100,78.7900,81.6600,77.3400,65.1300,
YUM,Yum! Brands Inc,Consumer Discretionary,101.7100,100.6700,100.7300,105.7700,89.2500,68.5300,
ZBH,Zimmer Biomet Holdings,Health Care,138.2300,145.2800,149.6800,147.9000,136.1500,101.0800,
ZION,Zions Bancorp,Financials,48.4700,49.7800,51.9200,45.4900,39.9500,26.7600,
ZTS,Zoetis,Health Care,127.9200,120.5200,132.3500,134.2100,133.2300,117.6900,
